id,city,date,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,umpire1,umpire2
180,Ahmedabad,3/15/2010,V Sehwag,"Sardar Patel Stadium, Motera",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,6,BG Jerling,RE Koertzen
178,Kolkata,3/14/2010,MK Tiwary,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,7,HDPK Dharmasena,AM Saheba
179,Chennai,3/14/2010,WPUJC Vaas,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,Deccan Chargers,31,0,K Hariharan,DJ Harper
176,Mumbai,3/13/2010,YK Pathan,Brabourne Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Mumbai Indians,4,0,RE Koertzen,RB Tiffin
177,Chandigarh,3/13/2010,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,5,BR Doctrove,S Ravi
175,Mumbai,03-12-2010,AD Mathews,Dr DY Patil Sports Academy,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,Kolkata Knight Riders,11,0,RE Koertzen,RB Tiffin
174,Johannesburg,5/24/2009,A Kumble,New Wanderers Stadium,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Deccan Chargers,6,0,RE Koertzen,SJA Taufel
173,Johannesburg,5/23/2009,MK Pandey,New Wanderers Stadium,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,6,RE Koertzen,SJA Taufel
172,Centurion,5/22/2009,AC Gilchrist,SuperSport Park,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,0,6,BR Doctrove,DJ Harper
170,Centurion,5/21/2009,V Sehwag,SuperSport Park,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,0,4,IL Howell,S Ravi
